               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.035703,            0.025672,           0.0068071,             0.91273,             0.47806,             0.52214,             0.31832,            0.033705,             0.01989,            0.010076,           0.0088442,           0.0088442,           0.0088442
                  37,             0.03499,            0.025728,           0.0067694,             0.89303,             0.50091,             0.57323,             0.33853,             0.03387,            0.018991,           0.0090489,           0.0087804,           0.0087804,           0.0087804
                  38,            0.035626,            0.025675,             0.00655,             0.83766,             0.51047,             0.57448,             0.34649,            0.033519,            0.019473,           0.0089217,           0.0087151,           0.0087151,           0.0087151
                  39,             0.03582,            0.025757,           0.0062361,              0.6366,             0.64399,             0.66306,             0.40011,            0.033758,            0.019248,           0.0085044,           0.0086485,           0.0086485,           0.0086485
                  40,            0.034628,            0.026044,           0.0058921,             0.68453,             0.65402,             0.63975,             0.38963,            0.035679,            0.019587,           0.0081641,           0.0085805,           0.0085805,           0.0085805
                  41,            0.034899,            0.025793,           0.0061353,             0.70826,             0.64451,             0.64098,             0.38834,            0.033179,            0.019745,           0.0089393,           0.0085111,           0.0085111,           0.0085111
                  42,            0.034135,              0.0248,           0.0059267,             0.64153,              0.6053,             0.62249,             0.39499,            0.032892,            0.018767,           0.0091554,           0.0084404,           0.0084404,           0.0084404
                  43,            0.034397,            0.025285,           0.0064471,              0.8068,             0.58224,             0.63739,             0.40039,            0.033312,            0.018708,           0.0092405,           0.0083684,           0.0083684,           0.0083684
                  44,            0.034539,            0.025289,           0.0056112,              0.8043,             0.65322,             0.65136,             0.37461,            0.034474,            0.019064,            0.008686,           0.0082952,           0.0082952,           0.0082952
                  45,            0.034195,            0.024438,              0.0054,             0.77683,               0.652,             0.66194,             0.41005,            0.032672,            0.019662,           0.0081567,           0.0082207,           0.0082207,           0.0082207
                  46,            0.033895,            0.024782,           0.0052246,             0.66151,             0.61397,             0.60393,             0.36759,            0.032576,            0.019252,           0.0077551,            0.008145,            0.008145,            0.008145
