               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.038149,            0.025591,           0.0053514,             0.87431,             0.69962,             0.74268,             0.40477,            0.037012,            0.021487,           0.0072264,           0.0089065,           0.0089065,           0.0089065
                  36,            0.038077,             0.02626,           0.0053644,             0.80608,              0.6942,             0.73187,             0.42526,            0.034476,            0.021368,           0.0073301,           0.0088442,           0.0088442,           0.0088442
                  37,             0.03693,             0.02543,           0.0047611,             0.77168,             0.70472,             0.75227,             0.43196,            0.035029,            0.022083,            0.005624,           0.0087804,           0.0087804,           0.0087804
                  38,            0.036812,            0.025146,           0.0048844,              0.9363,             0.64204,             0.74553,             0.43348,            0.034031,            0.020442,           0.0057009,           0.0087151,           0.0087151,           0.0087151
                  39,            0.036054,            0.024921,           0.0048029,             0.85481,             0.67816,             0.73362,              0.4116,            0.035067,            0.021046,            0.007026,           0.0086485,           0.0086485,           0.0086485
                  40,            0.035532,            0.024112,           0.0042607,             0.93898,             0.60638,             0.74558,             0.43752,            0.034561,            0.020582,           0.0078253,           0.0085805,           0.0085805,           0.0085805
                  41,             0.03578,            0.024784,            0.004681,             0.87929,             0.65273,             0.73763,             0.42652,            0.034288,            0.020482,           0.0069372,           0.0085111,           0.0085111,           0.0085111
                  42,            0.035543,            0.024483,           0.0044868,             0.86121,             0.64766,             0.75475,              0.4455,            0.033485,            0.021468,            0.006514,           0.0084404,           0.0084404,           0.0084404
                  43,            0.034975,            0.023634,           0.0040652,             0.76577,             0.71492,             0.75349,             0.42216,            0.033979,            0.020936,           0.0066897,           0.0083684,           0.0083684,           0.0083684
                  44,            0.034841,            0.024763,           0.0039408,             0.86511,             0.67871,             0.74969,             0.44242,            0.033844,            0.021125,           0.0059223,           0.0082952,           0.0082952,           0.0082952
